City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-07-20 02:19:23,3.0707,172.7902,82.31,77,96,13.78
1,Marawi,PH,2022-07-20 02:21:28,7.9986,124.2928,80.96,64,49,2.33
2,Hermanus,ZA,2022-07-20 02:19:06,-34.4187,19.2345,51.51,77,21,4.61
3,Araouane,ML,2022-07-20 02:21:28,18.9048,-3.5265,88.25,41,98,6.82
4,Muros,ES,2022-07-20 02:21:29,42.7762,-9.0603,65.08,89,85,3.24
5,Busselton,AU,2022-07-20 02:17:22,-33.65,115.3333,59.77,72,96,11.88
6,Barrow,US,2022-07-20 02:21:30,71.2906,-156.7887,38.37,83,100,17.38
7,Abu Kamal,SY,2022-07-20 02:21:30,34.4506,40.9171,88.63,17,0,10.98
8,Fandriana,MG,2022-07-20 02:21:31,-20.2333,47.3833,49.32,93,100,6.85
9,Naze,JP,2022-07-20 02:20:12,28.3667,129.4833,83.19,81,100,15.41
10,Dikson,RU,2022-07-20 02:21:32,73.5069,80.5464,46.27,69,100,13.13
11,Kaspiyskiy,RU,2022-07-20 02:21:33,45.3929,47.3707,69.64,81,100,12.55
12,Salalah,OM,2022-07-20 02:21:34,17.0151,54.0924,75.29,100,100,0.0
13,Rikitea,PF,2022-07-20 02:21:34,-23.1203,-134.9692,74.17,77,3,8.08
14,Lakselv,NO,2022-07-20 02:21:35,70.0513,24.9718,53.42,87,100,12.66
15,Jawhar,SO,2022-07-20 02:21:35,2.7809,45.5005,69.58,88,98,11.27
16,Novopokrovka,UA,2022-07-20 02:21:36,49.8425,36.5477,55.15,92,12,4.29
17,Ushuaia,AR,2022-07-20 02:21:37,-54.8,-68.3,38.86,81,75,5.75
18,Luderitz,NA,2022-07-20 02:16:38,-26.6481,15.1594,55.74,66,0,19.69
19,Sao Filipe,CV,2022-07-20 02:21:37,14.8961,-24.4956,77.72,81,65,5.91
20,Victoria,HK,2022-07-20 02:21:38,22.2855,114.1577,91.45,82,100,10.92
21,Swan River,CA,2022-07-20 02:21:38,52.1058,-101.2676,73.29,68,77,4.61
22,Hithadhoo,MV,2022-07-20 02:21:39,-0.6,73.0833,81.77,72,99,6.89
23,Punta Arenas,CL,2022-07-20 02:21:40,-53.15,-70.9167,35.71,80,75,44.87
24,Perth,AU,2022-07-20 02:20:39,-31.9333,115.8333,63.09,68,0,13.8
25,Shahganj,IN,2022-07-20 02:21:40,26.05,82.6833,87.3,66,92,3.85
26,Kapaa,US,2022-07-20 02:21:41,22.0752,-159.319,85.98,76,20,18.41
27,Tuktoyaktuk,CA,2022-07-20 02:21:41,69.4541,-133.0374,45.5,92,100,1.48
28,Ribeira Grande,PT,2022-07-20 02:21:42,38.5167,-28.7,72.07,88,0,5.37
29,Cidreira,BR,2022-07-20 02:21:43,-30.1811,-50.2056,57.65,90,8,5.46
30,Price,US,2022-07-20 02:21:43,39.5994,-110.8107,92.46,16,0,12.66
31,Saldanha,ZA,2022-07-20 02:21:44,-33.0117,17.9442,42.85,74,0,14.29
32,Hilo,US,2022-07-20 02:17:56,19.7297,-155.09,83.28,74,40,11.5
33,Tsabong,BW,2022-07-20 02:21:44,-26.0217,22.401,55.08,48,2,11.63
34,Puerto Carreno,CO,2022-07-20 02:21:45,6.189,-67.4859,72.63,93,100,3.69
35,Marzuq,YE,2022-07-20 02:21:46,14.4,46.4667,73.45,65,100,1.83
36,Batagay-Alyta,RU,2022-07-20 02:21:46,67.8006,130.4114,36.61,94,100,5.59
37,Maunabo,PR,2022-07-20 02:21:47,18.0072,-65.8993,82.24,82,37,12.19
38,Emerald,AU,2022-07-20 02:17:02,-23.5333,148.1667,67.33,50,91,12.57
39,Muscat,OM,2022-07-20 02:18:54,23.6139,58.5922,85.95,85,35,7.65
40,Margate,GB,2022-07-20 02:21:48,51.3813,1.3862,68.7,78,89,5.01
41,Coquimbo,CL,2022-07-20 02:18:10,-29.9533,-71.3436,53.33,100,100,2.3
42,Bloomfield,US,2022-07-20 02:21:38,40.8068,-74.1854,88.65,59,0,11.5
43,New Norfolk,AU,2022-07-20 02:21:49,-42.7826,147.0587,48.92,55,3,1.01
44,Bayburt,TR,2022-07-20 02:22:50,40.2589,40.2278,57.2,83,98,2.57
45,Longyearbyen,SJ,2022-07-20 02:17:54,78.2186,15.6401,48.04,87,75,8.05
46,Saint-Philippe,RE,2022-07-20 02:20:33,-21.3585,55.7679,71.22,74,52,19.57
47,Port Alfred,ZA,2022-07-20 02:18:28,-33.5906,26.891,56.17,97,100,3.0
48,Portland,US,2022-07-20 02:19:30,45.5234,-122.6762,90.63,40,0,9.22
49,Faanui,PF,2022-07-20 02:22:05,-16.4833,-151.75,77.76,67,21,6.69
50,Kholm-Zhirkovskiy,RU,2022-07-20 02:22:51,55.5189,33.4731,52.92,98,30,8.72
51,Fairbanks,US,2022-07-20 02:22:52,64.8378,-147.7164,55.36,89,100,5.75
52,Cherskiy,RU,2022-07-20 02:22:52,68.75,161.3,46.11,60,86,11.88
53,Morant Bay,JM,2022-07-20 02:22:53,17.8815,-76.4093,81.72,82,1,9.57
54,Rabo De Peixe,PT,2022-07-20 02:22:53,37.8,-25.5833,73.27,72,75,6.91
55,Souillac,MU,2022-07-20 02:22:54,-20.5167,57.5167,70.18,60,40,20.71
56,Meulaboh,ID,2022-07-20 02:22:55,4.1363,96.1285,80.13,71,45,3.02
57,Juneau,US,2022-07-20 02:22:55,58.3019,-134.4197,54.99,100,100,1.95
58,Tautira,PF,2022-07-20 02:22:56,-17.7333,-149.15,76.93,69,4,4.14
59,Vaini,TO,2022-07-20 02:20:27,-21.2,-175.2,78.96,83,20,11.5
60,Rawson,AR,2022-07-20 02:22:56,-43.3002,-65.1023,52.41,62,94,14.85
61,Khorixas,NA,2022-07-20 02:22:57,-20.3667,14.9667,52.48,61,0,2.08
62,Bredasdorp,ZA,2022-07-20 02:22:57,-34.5322,20.0403,46.04,87,13,3.38
63,Nikolskoye,RU,2022-07-20 02:18:33,59.7035,30.7861,57.09,94,55,8.55
64,Ceuta,ES,2022-07-20 02:22:58,35.8903,-5.3075,75.24,64,0,4.65
65,Carnarvon,AU,2022-07-20 02:22:52,-24.8667,113.6333,70.34,42,82,12.26
66,Tuatapere,NZ,2022-07-20 02:22:59,-46.1333,167.6833,44.55,80,92,3.15
67,Bluff,NZ,2022-07-20 02:20:35,-46.6,168.3333,47.8,69,100,9.17
68,Cape Town,ZA,2022-07-20 02:21:05,-33.9258,18.4232,58.37,80,20,5.99
69,Narsaq,GL,2022-07-20 02:20:25,60.9167,-46.05,48.42,91,100,2.66
70,Pevek,RU,2022-07-20 02:23:00,69.7008,170.3133,32.32,98,100,12.41
71,Charters Towers,AU,2022-07-20 02:23:01,-20.1,146.2667,71.15,53,3,7.49
72,Lompoc,US,2022-07-20 02:23:01,34.6391,-120.4579,89.02,78,2,4.0
73,Dingle,PH,2022-07-20 02:20:22,10.9995,122.6711,85.19,74,14,3.71
