City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Zhigansk,RU,72.18,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
6,Saint-Philippe,RE,74.21,light rain,-21.3585,55.7679,Le four à pain
9,Vaini,TO,72.46,scattered clouds,-21.2,-175.2,Keleti Beach Resort
17,Hilo,US,79.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
26,Samana,DO,78.28,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
29,Rikitea,PF,75.4,few clouds,-23.1203,-134.9692,People ThankYou
33,San Matias,BO,72.72,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
34,Maroantsetra,MG,70.03,light rain,-15.4333,49.7333,Annexe Vatsy Hôtel
41,Tiarei,PF,73.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
43,Itarema,BR,78.4,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
47,Fort-Shevchenko,KZ,77.5,clear sky,44.5086,50.263,Oasis hotel Bautino
58,Ribeira Grande,PT,73.87,few clouds,38.5167,-28.7,Quinta da Meia Eira
65,Cairns,AU,78.75,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
69,Arraial Do Cabo,BR,70.09,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
73,Lagoa,PT,72.5,clear sky,39.05,-27.9833,Casa Das Faias
87,Bonthe,SL,75.33,light rain,7.5264,-12.505,Bonthe Holiday Village
93,Noshiro,JP,79.25,scattered clouds,40.2039,140.0242,Suigetsu
97,Khatanga,RU,76.44,overcast clouds,71.9667,102.5,"""Khatanga"""
116,Bowen,AU,70.92,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
117,Mareeba,AU,74.12,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
119,Robertsport,LR,75.34,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
120,Santa Isabel Do Rio Negro,BR,71.53,light rain,-0.4139,-65.0192,Hotel GSA
121,Touros,BR,71.89,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
132,Vila Franca Do Campo,PT,75.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
133,Nanakuli,US,78.12,clear sky,21.3906,-158.1547,Camp Pālehua
135,Tomatlan,MX,76.3,broken clouds,19.9333,-105.25,El Salvial
142,Mahajanga,MG,74.3,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
149,Jamestown,US,70.02,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
157,Ponta Delgada,PT,75.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
159,Birin,NP,70.05,broken clouds,26.8865,88.0718,Sun Hotel & Lodge
164,Kribi,CM,75.0,overcast clouds,2.95,9.9167,Hotel Tara Plage
168,Staunton,US,78.89,clear sky,38.1496,-79.0717,Hotel 24 South
169,Sao Raimundo Das Mangabeiras,BR,70.29,broken clouds,-7.0219,-45.4811,Hotel Tropical
170,Clinton,US,74.95,scattered clouds,42.587,-82.9199,River's Edge
177,Novaya Igirma,RU,76.91,overcast clouds,57.1334,103.9112,Tayga
181,Pochutla,MX,74.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
184,Hamilton,US,79.0,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
185,Zalantun,CN,78.44,broken clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
190,Amazar,RU,79.25,scattered clouds,53.858,120.875,Гостиничный Комплекс Уют
193,Vao,NC,71.46,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
197,Atuona,PF,76.82,clear sky,-9.8,-139.0333,Villa Enata
205,Schneverdingen,DE,74.08,overcast clouds,53.1167,9.8,Landhotel Schnuck
206,Lebane,RS,70.39,clear sky,42.9239,21.7375,Teodora
209,Semey,KZ,77.22,clear sky,50.4111,80.2275,Grand Hotel Semey
214,Coahuayana,MX,79.25,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
223,Angoche,MZ,75.4,clear sky,-16.2325,39.9086,Guest House HESADA
227,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
230,Ipixuna,BR,73.78,broken clouds,-1.7625,-48.8043,Chalé do Mato
231,Washington,US,74.64,scattered clouds,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
235,Marienburg,PL,70.88,scattered clouds,54.0359,19.0266,Hotel Centrum Malbork
240,Sfantu Gheorghe,RO,72.93,broken clouds,45.8667,25.7833,Hotel Park
242,Harper,LR,73.2,overcast clouds,4.375,-7.7169,Screensaver
252,Cabedelo,BR,70.47,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
258,Yamada,JP,78.64,scattered clouds,39.4667,141.95,Iroha-ya Inn
265,Oktyabrskoye,RU,73.54,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
267,Hovd,MN,75.7,few clouds,48.0056,91.6419,Hotel Khovd
271,La Macarena,CO,70.75,broken clouds,2.1837,-73.7849,Casa Hotel Real
276,Padang,ID,73.45,moderate rain,-0.9492,100.3543,Mercure Padang
277,Quatre Cocos,MU,74.08,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
282,Santa Cruz,BO,71.06,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
288,Ottawa,CA,72.23,broken clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
297,Araguacu,BR,71.91,clear sky,-12.9306,-49.8264,Hotel Tocantins
300,Mazagao,BR,78.85,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
301,Zaysan,KZ,77.95,clear sky,47.4667,84.8667,Ерлан үй
303,Niagara Falls,CA,76.69,broken clouds,43.1001,-79.0663,Sheraton Fallsview Hotel
309,Grand Gaube,MU,74.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
310,Mabaruma,GY,72.97,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
