City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,51.1,94,81,4.0,broken clouds
1,Zhigansk,RU,66.7697,123.3711,72.18,51,25,3.4,scattered clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,39.29,84,46,7.54,scattered clouds
3,Port Elizabeth,ZA,-33.918,25.5701,50.09,67,81,4.92,broken clouds
4,Mahdasht,IR,35.7299,50.8111,82.62,45,4,19.84,clear sky
5,Konstantinovka,RU,49.6167,127.9833,84.85,43,19,6.82,few clouds
6,Saint-Philippe,RE,-21.3585,55.7679,74.21,74,17,8.19,light rain
7,Esperance,AU,-33.8667,121.9,61.63,48,1,14.45,clear sky
8,Ponta Do Sol,PT,32.6667,-17.1,84.83,40,28,4.23,scattered clouds
9,Vaini,TO,-21.2,-175.2,72.46,68,48,20.54,scattered clouds
10,Marsa Matruh,EG,31.3525,27.2453,81.63,58,0,11.59,clear sky
11,Leningradskiy,RU,69.3833,178.4167,35.71,95,100,5.39,overcast clouds
12,Mataura,NZ,-46.1927,168.8643,44.47,92,89,4.88,overcast clouds
13,Kavaratti,IN,10.5669,72.642,81.91,75,100,12.37,overcast clouds
14,Talnakh,RU,69.4865,88.3972,60.21,53,100,30.56,overcast clouds
15,Paita,PE,-5.0892,-81.1144,63.55,90,60,8.5,broken clouds
16,Egvekinot,RU,66.3167,-179.1667,42.96,62,94,3.47,overcast clouds
17,Hilo,US,19.7297,-155.09,79.29,92,48,1.99,scattered clouds
18,Kununurra,AU,-15.7667,128.7333,91.38,9,5,9.22,clear sky
19,Dalhousie,IN,32.5333,75.9833,60.78,98,100,2.77,overcast clouds
20,Cidreira,BR,-30.1811,-50.2056,63.25,89,100,4.72,overcast clouds
21,Mihijam,IN,23.8526,86.8788,86.76,63,98,16.4,overcast clouds
22,Edd,ER,13.9297,41.6925,88.72,60,100,5.88,overcast clouds
23,Bambous Virieux,MU,-20.3428,57.7575,73.22,66,40,11.23,scattered clouds
24,Barrow,US,71.2906,-156.7887,42.82,87,100,14.97,overcast clouds
25,Gladstone,AU,-23.85,151.25,69.78,56,7,10.36,clear sky
26,Samana,DO,19.2056,-69.3369,78.28,85,14,10.51,few clouds
27,Butaritari,KI,3.0707,172.7902,82.69,70,11,19.33,few clouds
